SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;YIELDATWAP;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
XS1951067039;CBOM-24 EU;CBOM Finance P.L.C. 5.15;Корпоративные еврооблигации;XS1951067039;;3;1000,0;EUR;327228;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;20.02.2024;;20.02.2019;0;0;0;2,67;;;;;СиБиОуЭм Файнэнс Пи.Эл.Си (CBOM Finance P.L.C.);0000425241;1;106,944;95711,564;82311,945;109111,183;79440,598;111982,53;76569,251;114853,877;14,0;10000;17,0;50000;20,0;19,00;19,00
XS1952156344;BCS EUSTAR;BCS SP Plc Series 2019-3;Корпоративные еврооблигации;XS1952156344;;3;1000,0;EUR;20000;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;27.03.2024;;21.02.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;94,99;84957,061;;169914,122;;169914,122;;169914,122;100,0;;;;;100,00;100,00
XS1953826978;BCS 04/22;BCS SP Plc Series 36;Корпоративные еврооблигации;XS1953826978;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;02.04.2022;;20.02.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;102,84;94841,23;;189682,46;;189682,46;;189682,46;100,0;;;;;100,00;100,00
XS1954534621;BCS04/22-2;BCS SP Plc Series 37;Корпоративные еврооблигации;XS1954534621;;3;5000,0;USD;2000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;03.04.2022;;21.02.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;89,99;331962,76;;663925,52;;663925,52;;663925,52;100,0;;;;;100,00;100,00
XS1960651641;BCS06/24-2;BCS SP Plc Series 2019-7;Корпоративные еврооблигации;XS1960651641;;3;50000,0;EUR;100;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;27.06.2024;;12.03.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;100,0;4471895,0;;8943790,0;;8943790,0;;8943790,0;100,0;;;;;100,00;100,00
XS1961080501;EUCH-24;EuroChem Fin DAC 5.5 13/03/24;Корпоративные еврооблигации;XS1961080501;;3;1000,0;USD;700000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;13.03.2024;;13.03.2019;0;0;0;1,98;;;;;EuroChem Finance DAC;0000004397;1;110,174;83109,841;71474,463;94745,219;68981,168;97238,514;66487,873;99731,809;14,0;14000;17,0;70000;20,0;18,00;18,00
XS1962541709;BCS 06/24;BCS SP Plc Series 38;Корпоративные еврооблигации;XS1962541709;;3;1250,0;USD;16000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.06.2024;;13.03.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;96,99;89446,24;;178892,48;;178892,48;;178892,48;100,0;;;;;100,00;100,00
XS1963835902;BCS 04/24;BCS SP Plc Series 39;Корпоративные еврооблигации;XS1963835902;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;26.04.2024;;14.03.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;81,99;75612,92;;151225,84;;151225,84;;151225,84;100,0;;;;;100,00;100,00
XS1964558339;CBOM-24;CBOM Finance P.L.C. 7.121;Корпоративные еврооблигации;XS1964558339;;3;1000,0;USD;217270;0;1;TQOD;Т+: Облигации (USD) - безадрес.;25.06.2024;;25.03.2019;0;0;0;3,66;;;;;СиБиОуЭм Файнэнс Пи.Эл.Си (CBOM Finance P.L.C.);0000425241;1;111,317;83002,741;71382,357;94623,125;68892,275;97113,207;66402,193;99603,289;14,0;10000;17,0;50000;20,0;18,00;18,00
XS1967593796;BCS06/24-3;BCS SP Plc Series 40;Корпоративные еврооблигации;XS1967593796;;3;1000,0;EUR;3000;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;30.06.2024;;22.03.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;94,989;84956,167;;169912,334;;169912,334;;169912,334;100,0;;;;;100,00;100,00
XS1982161603;BCS06/24-4;BCS SP Plc Series 41;Корпоративные еврооблигации;XS1982161603;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.06.2024;;15.04.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;86,05;79357,14;;158714,28;;158714,28;;158714,28;100,0;;;;;100,00;100,00
XS1985081444;BCS 05/24;BCS SP Plc Series 42;Корпоративные еврооблигации;XS1985081444;;3;100000,0;RUB;6000;0;1;TQCB;Т+: Облигации - безадрес.;24.05.2024;;17.04.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;89,99;89990,0;;179980,0;;179980,0;;179980,0;100,0;;;;;100,00;100,00
XS1998798984;BCS 06/22;BCS SP Plc Series 43;Корпоративные еврооблигации;XS1998798984;;3;1000,0;EUR;7000;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;20.06.2022;;21.05.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;95,99;85851,44;;171702,88;;171702,88;;171702,88;100,0;;;;;100,00;100,00
XS2004904285;BCS06/22-2;BCS SP Plc Series 44;Корпоративные еврооблигации;XS2004904285;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.06.2022;;31.05.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;103,19;95164,01;;190328,02;;190328,02;;190328,02;100,0;;;;;;
XS2009879425;BCS06/24-5;BCS SP Plc Series 45;Корпоративные еврооблигации;XS2009879425;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.06.2024;;07.06.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;87,78;80952,58;;161905,16;;161905,16;;161905,16;100,0;;;;;;
XS2010040397;URKA-24;Uralkali Finance 22/10/24;Корпоративные еврооблигации;XS2010040397;;3;1000,0;USD;500000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;22.10.2024;;22.10.2019;0;0;0;;;;;;Uralkali Finance Limited;0000003854;1;104,393;78027,05;63982,181;92071,919;61641,37;94412,731;59300,558;96753,542;18,0;10000;21,0;50000;24,0;;
XS2010043656;SCB-30;SovCom Capital D.A.C. 07/04/30;Корпоративные еврооблигации;XS2010043656;;3;1000,0;USD;300000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;07.04.2030;;07.10.2019;0;1;0;6,54;;;;;SovCom Capital D.A.C.;0000004242;1;109,22;82842,52;;165685,04;;165685,04;;165685,04;100,0;;;;;;
XS2010044381;GTLK-26;GTLK Europe Capital 18/02/26;Корпоративные еврооблигации;XS2010044381;;3;1000,0;USD;550000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;18.02.2026;;02.10.2019;0;0;0;3,4;;;;;GTLK Europe Capital DAC;0000004735;1;107,098;79085,438;62477,496;95693,38;60104,933;98065,943;57732,37;100438,506;21,0;11000;24,0;55000;27,0;;
XS2010044621;SIB-24;Sibur Securities DAC 23/09/24;Корпоративные еврооблигации;XS2010044621;;3;1000,0;USD;500000;1;1;TQOD;Т+: Облигации (USD) - безадрес.;23.09.2024;;23.09.2019;0;0;0;1,78;;;;;Sibur Securities Limited;0000003971;1;105,688;79048,871;66401,052;91696,69;64029,586;94068,156;61658,119;96439,623;16,0;10000;19,0;50000;22,0;;
XS2015214757;BCS07/24;BCS SP Plc Series 46;Корпоративные еврооблигации;XS2015214757;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;17.07.2024;;18.06.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;106,44;98161,23;;196322,46;;196322,46;;196322,46;100,0;;;;;;
XS2019822357;BCS GM2;BCS SP Plc Series 2019-6;Корпоративные еврооблигации;XS2019822357;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;27.06.2024;;25.06.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;87,29;80500,69;;161001,38;;161001,38;;161001,38;100,0;;;;;;
XS2020622887;BCS08/22;BCS SP Plc Series 47;Корпоративные еврооблигации;XS2020622887;;3;100000,0;RUB;3000;0;1;TQCB;Т+: Облигации - безадрес.;01.08.2022;;12.07.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;105,91;105910,0;;211820,0;;211820,0;;211820,0;100,0;;;;;;
XS2027360507;BCS GM3;BCS SP Plc Series 2019-8;Корпоративные еврооблигации;XS2027360507;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;23.12.2024;;16.07.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;81,99;75612,92;;151225,84;;151225,84;;151225,84;100,0;;;;;;
XS2028879026;BCS06/24-6;BCS SP Plc Series 48;Корпоративные еврооблигации;XS2028879026;;3;1250,0;USD;16000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.06.2024;;12.07.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;89,95;82953,8;;165907,6;;165907,6;;165907,6;100,0;;;;;;
XS2028879703;BCS08/22-2;BCS SP Plc Series 49;Корпоративные еврооблигации;XS2028879703;;3;1250,0;USD;2400;0;1;TQOD;Т+: Облигации (USD) - безадрес.;12.08.2022;;12.07.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;79,97;73750,03;;147500,06;;147500,06;;147500,06;100,0;;;;;;
XS2028880115;BCS06/24-7;BCS SP Plc Series 51;Корпоративные еврооблигации;XS2028880115;;3;100000,0;RUB;12000;0;1;TQCB;Т+: Облигации - безадрес.;30.06.2024;;17.07.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;93,19;93190,0;;186380,0;;186380,0;;186380,0;100,0;;;;;;
XS2038593419;BCS09/22;BCS SP Plc Series 52;Корпоративные еврооблигации;XS2038593419;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;09.09.2022;;07.08.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;92,99;85757,35;;171514,7;;171514,7;;171514,7;100,0;;;;;;
XS2038595034;BCS09/24;BCS SP Plc Series 53;Корпоративные еврооблигации;XS2038595034;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;09.09.2024;;07.08.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;103,31;95274,68;;190549,36;;190549,36;;190549,36;100,0;;;;;;
XS2038610445;BCS06/24-8;BCS SP Plc Series 54;Корпоративные еврооблигации;XS2038610445;;3;1000,0;EUR;5000;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;30.06.2024;;12.08.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;94,958;84928,441;;169856,882;;169856,882;;169856,882;100,0;;;;;;
XS2045765729;BCS GM4;BCS SP Plc Series 2019-11;Корпоративные еврооблигации;XS2045765729;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;24.06.2024;;22.08.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;98,95;91253,79;;182507,58;;182507,58;;182507,58;100,0;;;;;;
XS2045847295;BCSALORLV1;BCS SP Plc ALOR LV1;Корпоративные еврооблигации;XS2045847295;;3;75000,0;RUB;1334;0;1;TQCB;Т+: Облигации - безадрес.;15.11.2022;;10.09.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;84,97;63727,5;;127455,0;;127455,0;;127455,0;100,0;;;;;;
XS2057952439;BCS12/24;BCS SP Plc Series 58;Корпоративные еврооблигации;XS2057952439;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;04.10.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;81,99;75612,92;;151225,84;;151225,84;;151225,84;100,0;;;;;;
XS2058684619;BCS12/24-2;BCS SP Plc Series 59;Корпоративные еврооблигации;XS2058684619;;3;100000,0;RUB;6000;0;1;TQCB;Т+: Облигации - безадрес.;30.12.2024;;04.10.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;94,99;94990,0;;189980,0;;189980,0;;189980,0;100,0;;;;;;
XS2065019957;BCS GM5;BCS SP Plc Series 2019-15;Корпоративные еврооблигации;XS2065019957;;3;1250,0;USD;16000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;27.12.2024;;10.10.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;82,99;76535,14;;153070,28;;153070,28;;153070,28;100,0;;;;;;
XS2065556453;BCS02/23;BCS SP Plc Series 60;Корпоративные еврооблигации;XS2065556453;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;13.02.2023;;11.10.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;96,68;89160,35;;178320,7;;178320,7;;178320,7;100,0;;;;;;
XS2068071211;BCS11/24;BCS SP Plc Series 61;Корпоративные еврооблигации;XS2068071211;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;15.11.2024;;17.10.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;99,91;92139,13;;184278,26;;184278,26;;184278,26;100,0;;;;;;
XS2072913317;BCS12/24-3;BCS SP Plc Series 62;Корпоративные еврооблигации;XS2072913317;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;12.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;94,49;87140,69;;174281,38;;174281,38;;174281,38;100,0;;;;;;
XS2072913663;BCS12/24-5;BCS SP Plc Series 64;Корпоративные еврооблигации;XS2072913663;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;13.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;88,24;81376,8;;162753,6;;162753,6;;162753,6;100,0;;;;;;
XS2072914125;BCS12/24-4;BCS SP Plc Series 63;Корпоративные еврооблигации;XS2072914125;;3;100000,0;RUB;6000;0;1;TQCB;Т+: Облигации - безадрес.;30.12.2024;;12.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;96,48;96480,0;;192960,0;;192960,0;;192960,0;100,0;;;;;;
XS2072916336;BCSALOR5S;BCS SP Plc Series 2019-19;Корпоративные еврооблигации;XS2072916336;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;21.02.2023;;30.10.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;97,66;90064,13;;180128,26;;180128,26;;180128,26;100,0;;;;;;
XS2079093949;BCS12/24-6;BCS SP Plc Series 66;Корпоративные еврооблигации;XS2079093949;;3;1250,0;USD;10400;0;1;TQOD;Т+: Облигации (USD) - безадрес.;13.12.2024;;14.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;101,04;93181,24;;186362,48;;186362,48;;186362,48;100,0;;;;;;
XS2085844053;BCS12/24-7;BCS SP Plc Series 69;Корпоративные еврооблигации;XS2085844053;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;29.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;99,96;92185,24;;184370,48;;184370,48;;184370,48;100,0;;;;;;
XS2085844640;BCS12/24-8;BCS SP Plc Series 70;Корпоративные еврооблигации;XS2085844640;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;28.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;99,98;92203,68;;184407,36;;184407,36;;184407,36;100,0;;;;;;
XS2085880529;BCS03/23;BCS SP Plc Series 68;Корпоративные еврооблигации;XS2085880529;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.03.2023;;27.11.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;99,0;91299,9;;182599,8;;182599,8;;182599,8;100,0;;;;;;
XS2088720524;BCS12/24-9;BCS SP Plc Series 71;Корпоративные еврооблигации;XS2088720524;;3;1000,0;EUR;5000;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;30.12.2022;;09.12.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;99,789;89249,186;;178498,372;;178498,372;;178498,372;100,0;;;;;;
XS2091664370;BCS12/24-A;BCS SP Plc Series 72;Корпоративные еврооблигации;XS2091664370;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;10.12.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;79,95;73731,59;;147463,18;;147463,18;;147463,18;100,0;;;;;;
XS2091667043;BCS12/24-B;BCS SP Plc Series 73;Корпоративные еврооблигации;XS2091667043;;3;100000,0;RUB;6000;0;1;TQCB;Т+: Облигации - безадрес.;30.12.2024;;11.12.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;75,0;75000,0;;150000,0;;150000,0;;150000,0;100,0;;;;;;
XS2091668447;BCS12/24-C;BCS SP Plc Series 74;Корпоративные еврооблигации;XS2091668447;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;30.12.2024;;10.12.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;78,94;72800,15;;145600,3;;145600,3;;145600,3;100,0;;;;;;
XS2091672803;BCS12/24-D;BCS SP Plc Series 75;Корпоративные еврооблигации;XS2091672803;;3;100000,0;RUB;6000;0;1;TQCB;Т+: Облигации - безадрес.;30.12.2024;;11.12.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;90,99;90990,0;;181980,0;;181980,0;;181980,0;100,0;;;;;;
XS2093710494;BCS12/24-E;BCS SP Plc Series 77;Корпоративные еврооблигации;XS2093710494;;3;1000,0;EUR;5000;0;1;TQOE;Т+: Облигации (EUR) - безадрес.;30.12.2024;;17.12.2019;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;81,956;73299,725;;146599,45;;146599,45;;146599,45;100,0;;;;;;
XS2099349495;BCS03/23-2;BCS SP Plc Series 78;Корпоративные еврооблигации;XS2099349495;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;28.03.2023;;15.01.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;103,99;95901,79;;191803,58;;191803,58;;191803,58;100,0;;;;;;
XS2099763075;CBOM-25;CBOM Finance P.L.C. 4.7;Корпоративные еврооблигации;XS2099763075;;3;1000,0;USD;541000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;29.01.2025;;29.01.2020;0;0;0;3,74;;;;;СиБиОуЭм Файнэнс Пи.Эл.Си (CBOM Finance P.L.C.);0000425241;1;103,43;76558,709;62012,554;91104,864;59715,793;93401,625;57419,032;95698,386;19,0;12000;22,0;60000;25,0;;
XS2104313221;BCS05/23;BCS SP Plc Series 79;Корпоративные еврооблигации;XS2104313221;;3;1250,0;USD;1600;0;1;TQOD;Т+: Облигации (USD) - безадрес.;17.05.2023;;17.01.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;107,27;98926,67;;197853,34;;197853,34;;197853,34;100,0;;;;;;
XS2104929331;BCS03/25;BCS SP Plc Series 80;Корпоративные еврооблигации;XS2104929331;;3;1250,0;USD;1600;0;1;TQOD;Т+: Облигации (USD) - безадрес.;22.03.2025;;21.01.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;115,82;106811,67;;213623,34;;213623,34;;213623,34;100,0;;;;;;
XS2110115487;BCS GMp1;BCS SP Plc Series 2020-01;Корпоративные еврооблигации;XS2110115487;;3;1250,0;USD;4000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;22.01.2025;;23.01.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;99,99;92212,9;;184425,8;;184425,8;;184425,8;100,0;;;;;;
XS2113968148;SCB-perp;SovCom Capital perpetual;Корпоративные еврооблигации;XS2113968148;;3;1000,0;USD;300000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;;;18.02.2020;0;1;0;;;;;;SovCom Capital D.A.C.;0000004242;1;103,991;77023,939;;154047,878;;154047,878;;154047,878;100,0;;;;;;
XS2116689972;BCS GMp2;BCS SP Plc Series 2020-02;Корпоративные еврооблигации;XS2116689972;;3;1250,0;USD;2400;0;1;TQOD;Т+: Облигации (USD) - безадрес.;06.02.2025;;14.02.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;100,0;92222,13;;184444,26;;184444,26;;184444,26;100,0;;;;;;
XS2121431113;BCS GMf2;BCS SP Plc Series 2020-3;Корпоративные еврооблигации;XS2121431113;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;20.06.2025;;09.04.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;80,09;73860,7;;147721,4;;147721,4;;147721,4;100,0;;;;;;
XS2123084639;BCSALORLV2;BCS SP Plc Series 2020-4;Корпоративные еврооблигации;XS2123084639;;3;75000,0;RUB;1334;0;1;TQCB;Т+: Облигации - безадрес.;15.05.2023;;18.02.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;85,0;63750,0;;127500,0;;127500,0;;127500,0;100,0;;;;;;
XS2124187571;GAZ-30;Gaz Finance Plc 3.25 25/02/30;Корпоративные еврооблигации;XS2124187571;;3;1000,0;USD;2000000;1;1;TQOD;Т+: Облигации (USD) - безадрес.;25.02.2030;;25.02.2020;0;0;0;;;;;;Gaz Finance Plc;0000004846;1;100,866;74416,615;55812,461;93020,769;53579,963;95253,267;51347,464;97485,766;25,0;40000;28,0;200000;31,0;;
XS2128490906;BCS07/25;BCS SP Plc Series 85;Корпоративные еврооблигации;XS2128490906;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;09.07.2025;;05.03.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;102,95;94942,68;;189885,36;;189885,36;;189885,36;100,0;;;;;;
XS2131995958;GTLK-27;GTLK Europe Capital 10/03/27;Корпоративные еврооблигации;XS2131995958;;3;1000,0;USD;600000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;10.03.2027;;10.03.2020;0;0;0;3,62;;;;;GTLK Europe Capital DAC;0000004735;1;105,124;79130,457;61721,756;96539,158;59347,843;98913,071;56973,929;101286,985;22,0;916889;25,0;4584445;28,0;;
XS2134628069;GMKN-25;MMC Finance DAC 11/09/25;Корпоративные еврооблигации;XS2134628069;;3;1000,0;USD;500000;1;1;TQOD;Т+: Облигации (USD) - безадрес.;11.09.2025;;11.09.2020;0;0;0;;;;;;MMC Finance Limited;0000003847;1;102,114;76194,412;64765,25;87623,574;62479,418;89909,406;60193,585;92195,239;15,0;10000;18,0;50000;21,0;;
XS2139466846;BCS GM8;BCS SP Plc Series 2020-7;Корпоративные еврооблигации;XS2139466846;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;20.06.2025;;17.03.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;100,0;92222,13;;184444,26;;184444,26;;184444,26;100,0;;;;;;
XS2139467901;BCS GMf1;BCS SP Plc Series 2020-6;Корпоративные еврооблигации;XS2139467901;;3;1250,0;USD;8000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;20.06.2025;;17.03.2020;0;1;0;;;;;;БрокерКредитСервис Стракчэрд Продактс ПиЭлСи (BrokerCreditService Structured Products Plc);0010035220;1;83,98;77448,14;;154896,28;;154896,28;;154896,28;100,0;;;;;;
